;Paris;Marseille;Lyon;Toulouse;Nice;Nantes;Strasbourg;Montpellier;Bordeaux;Lille
Paris;0;25913;15794;23131;31103;13449;16588;24950;20021;8572
Marseille;25761;0;10864;14198;7856;31840;26581;7087;21636;32113
Lyon;15681;10962;0;18130;16152;22699;16703;11019;19145;22033
Toulouse;22951;13987;17902;0;19177;19100;33440;9086;8896;29991
Nice;31069;8164;16172;19506;0;37148;29842;12395;26944;37420
Nantes;13323;31667;22485;19088;36857;0;28281;26766;11945;20362
Strasbourg;16369;26726;16607;33494;29549;28310;0;26783;33385;17789
Montpellier;25010;6920;10836;8998;12110;26639;26553;0;16435;32050
Bordeaux;19833;21395;18862;8816;26585;11976;33308;16494;0;26873
Lille;8501;32231;22112;30129;37421;20446;17873;31948;27019;0
