;Version;Annee;Prix;Kilometrage;TypeVendeur
0;Intens;;16800;4000;Particulier
1;;;15900;20000;Particulier
2;Life;2014;9700;29000;Particulier
3;;2016;8900;5700;Particulier
4;Life;2013;7800;27500;Particulier
5;Intens;2013;10300;24000;Particulier
6;Intens;2013;8900;39500;Particulier
7;;2013;9100;19900;Particulier
8;Intens;2014;8990;49000;Particulier
9;Intens;2013;7950;29500;Particulier
10;;;9900;45000;Particulier
11;;2013;8000;55300;Particulier
12;Intens;2015;10450;20000;Particulier
13;Zen;;16800;7400;Particulier
14;Zen;;15000;17800;Particulier
15;;2015;10990;6000;Particulier
16;Intens;2015;10500;65000;Particulier
17;Intens;2015;10990;15254;Professionnel
18;Life;2014;7900;28537;Professionnel
19;Life;2013;8990;8751;Professionnel
20;Life;;13990;240;Professionnel
21;Life;2015;10690;7248;Professionnel
22;Life;2015;10300;11480;Professionnel
23;Intens;2014;10790;34121;Professionnel
24;Intens;2015;10980;9474;Professionnel
25;Life;2014;10290;10207;Professionnel
26;Life;2016;10480;9087;Professionnel
27;Life;2016;10890;2000;Professionnel
28;Zen;2013;9490;17900;Professionnel
29;Zen;2014;10100;24147;Professionnel
30;Intens;2015;10880;21120;Professionnel
31;Life;2015;10890;7079;Professionnel
32;Zen;2013;9200;23660;Professionnel
33;Life;2014;9500;7039;Professionnel
34;Life;2014;8980;25257;Professionnel
35;Life;2013;8500;13484;Professionnel
36;Intens;2013;9800;32671;Professionnel
37;Zen;;18500;6500;Professionnel
38;Zen;2013;8480;31250;Professionnel
39;Life;2013;7990;31451;Professionnel
40;Life;2013;6790;70896;Professionnel
41;Life;2016;10890;6667;Professionnel
42;Zen;;16390;500;Professionnel
43;Life;2015;9900;17940;Professionnel
44;Zen;2015;11590;3100;Professionnel
45;Intens;2015;10700;40095;Professionnel
46;Zen;2013;8700;81404;Professionnel
47;Intens;2014;10900;18815;Professionnel
48;Intens;2015;11500;10014;Professionnel
49;Intens;;17790;1;Professionnel
50;Zen;2014;10990;8184;Professionnel
51;Intens;;17790;1;Professionnel
52;Intens;;17490;1;Professionnel
53;Intens;;17790;1;Professionnel
54;Intens;;17790;1;Professionnel
55;Intens;;17790;1;Professionnel
56;Intens;;17490;1;Professionnel
57;Intens;;17790;1;Professionnel
58;Intens;;17790;1;Professionnel
59;Zen;2013;8790;19186;Professionnel
60;Intens;;17790;1;Professionnel
61;Intens;;17790;1;Professionnel
62;Intens;;17790;1;Professionnel
63;Intens;2015;11990;19756;Professionnel
64;Zen;2016;13900;100;Professionnel
65;Zen;2013;9980;49299;Professionnel
66;Life;2014;9490;2759;Professionnel
67;Intens;2016;12990;6130;Professionnel
68;Zen;2016;13900;100;Professionnel
69;Life;2014;9980;33853;Professionnel
